,true_production,hybrid_forecast
2804,324.93,186.8609695271384
2805,328.19,186.1801004073692
2806,329.82,186.1801004073692
2807,294.84,204.59171364209556
2808,332.95,186.1801004073692
2809,332.78,186.1801004073692
2810,330.91,186.1801004073692
2811,327.47,185.99967151309963
2812,325.02,186.1801004073692
2813,315.31,186.1801004073692
2814,264.18,203.60105197542885
2815,303.82,186.1801004073692
2816,290.2,191.81393968693467
2817,299.33,186.1801004073692
2818,302.85,186.1801004073692
2819,303.88,200.48991901435832
2820,271.65,297.5006752487767
2821,307.97,186.1801004073692
2822,293.86,191.81393968693467
2823,295.25,192.54002457065556
2824,293.69,192.54002457065556
2825,289.41,191.81393968693467
2826,286.59,192.54002457065556
2827,286.73,192.54002457065556
2828,281.83,192.54002457065556
2829,243.73,204.97137907770158
2830,288.65,208.35886103964583
2831,283.74,192.54002457065556
2832,277.35,192.54002457065556
2833,276.8,192.54002457065556
2834,278.15,192.54002457065556
2835,274.69,191.81393968693467
2836,278.41,192.54002457065556
2837,263.09,192.54002457065556
2838,255.45,192.54002457065556
2839,260.26,192.54002457065556
2840,259.4,192.54002457065556
2841,256.59,192.54002457065556
2842,255.84,192.54002457065556
2843,251.19,192.54002457065556
2844,242.83,192.54002457065556
2845,250.99,192.54002457065556
2846,238.95,192.54002457065556
2847,243.52,192.54002457065556
2848,243.3,192.54002457065556
2849,242.5,192.54002457065556
2850,247.63,191.81393968693467
2851,269.16,186.1801004073692
2852,267.49,186.1801004073692
2853,270.65,186.1801004073692
2854,268.61,186.1801004073692
2855,272.84,186.1801004073692
2856,268.9,186.1801004073692
2857,266.08,186.1801004073692
2858,264.09,186.1801004073692
2859,260.42,186.1801004073692
2860,260.01,186.1801004073692
2861,257.3,186.1801004073692
2862,254.39,186.1801004073692
2863,251.09,186.1801004073692
2864,250.98,186.1801004073692
2865,247.77,186.1801004073692
2866,247.14,186.1801004073692
2867,238.35,186.1801004073692
2868,245.19,186.1801004073692
2869,243.12,186.1801004073692
2870,245.9,186.1801004073692
2871,233.53,738.5210598306164
2872,230.16,691.5519598306166
2873,228.0,691.5519598306166
2874,229.51,691.5519598306166
2875,227.01,691.3982598306168
2876,219.85,691.5519598306166
2877,218.29,690.7664598306168
2878,219.77,691.3982598306168
2879,220.9,691.3982598306168
2880,216.63,699.2442598306167
2881,205.99,696.7587598306166
2882,211.56,699.2442598306167
2883,213.02,699.5656598306166
2884,208.1,691.6176598306167
2885,204.04,699.5656598306166
2886,200.49,696.7587598306166
2887,197.48,699.2442598306167
2888,198.76,699.2442598306167
2889,199.0,699.5656598306166
2890,198.27,699.2442598306167
2891,167.16,768.965795891541
2892,196.96,699.2442598306167
2893,222.82,698.5482598306168
2894,217.22,699.2442598306167
2895,215.98,699.2442598306167
2896,211.09,699.2442598306167
2897,204.61,699.2442598306167
2898,204.27,699.2442598306167
2899,205.6,699.2442598306167
2900,199.84,696.7587598306166
2901,211.33,694.3328880914862
2902,218.97,699.2442598306167
2903,187.47,699.2442598306167
2904,223.85,694.3328880914862
2905,216.57,694.3328880914862
2906,209.75,694.3328880914862
2907,198.75,699.2442598306167
2908,207.28,699.2442598306167
2909,202.13,699.2442598306167
2910,207.17,694.3328880914862
2911,211.56,676.4574109529386
2912,208.61,676.4574109529386
2913,210.84,676.4574109529386
2914,199.25,670.5179109529386
2915,199.09,670.5179109529386
2916,193.89,557.4155549209687
2917,201.14,224.95302039708235
2918,201.03,658.6916109529385
2919,199.27,616.5141386253083
2920,200.49,256.0285892893453
2921,201.32,616.5141386253083
2922,200.43,670.5179109529386
2923,199.77,645.3275018576314
2924,197.2,658.6916109529385
2925,194.87,670.5179109529386
2926,194.21,664.3686109529386
2927,192.59,670.5179109529386
2928,191.23,218.98965513734208
2929,189.54,206.5402447055845
2930,146.36,192.2617893507351
2931,190.97,212.05883392669463
2932,187.88,670.5179109529386
2933,186.86,670.5179109529386
2934,185.12,256.0285892893453
2935,184.86,616.5141386253083
2936,182.24,616.5141386253083
2937,183.08,670.5179109529386
2938,183.82,616.5141386253083
2939,185.07,212.42397259188752
2940,185.85,557.4155549209687
2941,185.89,670.5179109529386
2942,184.12,670.5179109529386
2943,184.75,670.5179109529386
2944,182.98,670.5179109529386
2945,182.4,616.5141386253083
2946,185.9,218.98965513734208
2947,185.75,206.94996687639042
2948,184.28,218.98965513734208
2949,175.83,616.5141386253083
2950,185.69,212.42397259188752
2951,186.7,218.98965513734208
2952,186.99,670.5179109529386
2953,187.6,616.5141386253083
2954,116.93,191.7919782389502
2955,96.32,135.1320756334331
2956,187.51,198.07315501192952
2957,188.19,557.4155549209687
2958,179.18,212.42397259188752
2959,187.63,224.95302039708235
2960,188.28,206.94996687639042
2961,187.06,193.37104831880347
2962,188.56,193.37104831880347
2963,186.17,218.98965513734208
2964,186.43,189.15058591558568
2965,186.61,207.09817118673524
2966,187.02,200.44498057277744
2967,186.45,224.95302039708235
2968,186.03,207.09817118673524
2969,186.14,224.95302039708235
2970,186.37,658.6916109529385
2971,184.92,658.6916109529385
2972,185.41,212.42397259188752
2973,182.8,207.09817118673524
2974,184.23,218.98965513734208
2975,184.42,218.98965513734208
2976,182.81,212.42397259188752
2977,185.36,207.09817118673524
2978,183.0,212.42397259188752
2979,184.55,212.42397259188752
2980,181.4,218.98965513734208
2981,183.58,224.95302039708235
2982,176.83,206.5402447055845
2983,182.4,206.94996687639042
2984,181.6,207.09817118673524
2985,176.04,205.51223715219652
2986,188.96,206.94996687639042
2987,180.55,205.51223715219652
2988,189.74,189.15058591558568
2989,106.49,144.9617502744865
2990,47.82,46.00275902806208
2991,38.42,257.06441246536775
2992,184.02,336.8907477246714
2993,80.78,436.254780841277
2994,125.94,283.083517583142
2995,143.87,396.73938554214726
2996,145.49,395.792792208814
2997,142.5,388.8006855421472
2998,134.8,439.47167909477895
2999,136.3,243.83377927426298
3000,139.91,297.0880857825654
3001,133.66,441.37611183287413
3002,129.53,423.9762864052425
3003,126.9,414.2038017898579
3004,128.63,414.2038017898579
3005,130.18,423.9762864052425
3006,132.63,423.9762864052425
3007,131.94,430.86772888644543
3008,136.17,430.86772888644543
3009,129.85,423.9762864052425
3010,123.16,374.23803742514076
3011,118.81,391.67709753086484
3012,121.77,391.67709753086484
3013,118.7,391.67709753086484
3014,119.96,381.6569144246618
3015,119.63,385.92605034020823
3016,110.61,344.79308038882846
3017,118.12,373.83582668253473
3018,120.41,344.0183684696365
3019,104.84,348.23277305296983
3020,0.0,-1.5585901693832167
3021,0.0,-1.5585901693832167
3022,0.0,-1.5585901693832167
3023,0.0,-1.5585901693832167
3024,0.0,-1.5585901693832167
3025,0.0,-1.5585901693832167
3026,0.0,-1.5585901693832167
3027,0.0,2.697009830616784
3028,0.0,2.697009830616784
3029,0.0,2.697009830616784
3030,0.0,2.697009830616784
3031,0.0,2.697009830616784
3032,0.0,2.697009830616784
3033,0.0,2.697009830616784
3034,0.0,2.697009830616784
3035,0.0,2.697009830616784
3036,0.0,2.697009830616784
3037,0.0,2.697009830616784
3038,0.0,2.697009830616784
3039,0.0,2.697009830616784
3040,0.0,2.697009830616784
3041,0.0,2.697009830616784
3042,0.0,2.697009830616784
3043,0.0,2.697009830616784
3044,0.0,2.697009830616784
3045,0.0,2.697009830616784
3046,0.0,2.697009830616784
3047,0.0,2.697009830616784
3048,0.0,2.697009830616784
3049,0.0,2.697009830616784
3050,0.0,2.697009830616784
3051,0.0,2.697009830616784
3052,0.0,2.697009830616784
3053,0.0,2.697009830616784
3054,0.0,2.697009830616784
3055,0.0,2.697009830616784
